Completion Code (1=completed PhD; 2=left without PhD),Time to Degree,Time to Leaving,Discipline,Gender Code (1=F; 2=M),GRE V,GRE Q
1,6.00,,Non-Engineering,1,620,690
1,7.00,,Non-Engineering,1,620,800
1,5.00,,Non-Engineering,1,630,680
1,6.00,,Non-Engineering,1,630,710
1,6.00,,Non-Engineering,1,640,540
1,5.00,,Non-Engineering,1,640,630
1,5.00,,Non-Engineering,1,650,670
1,6.00,,Non-Engineering,1,650,690
1,5.00,,Non-Engineering,1,650,730
1,9.00,,Non-Engineering,1,660,660
1,5.00,,Non-Engineering,1,660,790
1,6.00,,Non-Engineering,1,670,580
1,5.00,,Non-Engineering,1,680,590
1,4.00,,Non-Engineering,1,680,630
1,4.00,,Non-Engineering,1,690,750
1,5.00,,Non-Engineering,1,710,690
1,7.00,,Non-Engineering,1,720,510
1,6.00,,Non-Engineering,1,800,750
1,2.00,,Non-Engineering,2,290,610
1,6.00,,Non-Engineering,2,320,590
1,5.00,,Non-Engineering,2,320,600
1,5.00,,Non-Engineering,2,320,780
1,3.00,,Non-Engineering,2,330,520
1,7.00,,Non-Engineering,2,330,570
1,3.00,,Non-Engineering,2,330,570
1,5.00,,Non-Engineering,2,330,760
1,7.00,,Non-Engineering,2,340,680
1,6.00,,Non-Engineering,2,350,610
1,6.00,,Non-Engineering,2,350,800
1,6.00,,Non-Engineering,2,370,540
1,5.00,,Non-Engineering,2,370,640
1,4.00,,Non-Engineering,2,390,530
1,6.00,,Non-Engineering,2,400,650
1,5.00,,Non-Engineering,2,400,720
1,4.00,,Non-Engineering,2,430,620
1,6.00,,Non-Engineering,2,430,650
1,5.00,,Non-Engineering,2,430,660
1,6.00,,Non-Engineering,2,430,670
1,6.00,,Non-Engineering,2,460,650
1,3.00,,Non-Engineering,2,470,620
1,6.00,,Non-Engineering,2,480,600
1,6.00,,Non-Engineering,2,480,640
1,4.00,,Non-Engineering,2,490,540
1,7.00,,Non-Engineering,2,490,600
1,6.00,,Non-Engineering,2,490,640
1,6.00,,Non-Engineering,2,490,710
1,4.00,,Non-Engineering,2,500,590
1,5.00,,Non-Engineering,2,500,640
1,6.00,,Non-Engineering,2,500,650
1,7.00,,Non-Engineering,2,500,720
1,5.00,,Non-Engineering,2,500,750
1,6.00,,Non-Engineering,2,510,520
1,4.00,,Non-Engineering,2,510,550
1,6.00,,Non-Engineering,2,510,640
1,9.00,,Non-Engineering,2,510,680
1,8.00,,Non-Engineering,2,520,700
1,6.00,,Non-Engineering,2,520,710
1,5.00,,Non-Engineering,2,520,730
1,10.00,,Non-Engineering,2,520,750
1,4.00,,Non-Engineering,2,530,570
1,6.00,,Non-Engineering,2,530,600
1,4.00,,Non-Engineering,2,530,620
1,4.00,,Non-Engineering,2,530,630
1,7.00,,Non-Engineering,2,530,660
1,4.00,,Non-Engineering,2,530,670
1,8.00,,Non-Engineering,2,530,690
1,5.00,,Non-Engineering,2,530,730
1,6.00,,Non-Engineering,2,530,730
1,5.00,,Non-Engineering,2,540,610
1,3.00,,Non-Engineering,2,540,660
1,8.00,,Non-Engineering,2,540,780
1,6.00,,Non-Engineering,2,550,500
1,5.00,,Non-Engineering,2,550,550
1,6.00,,Non-Engineering,2,550,640
1,5.00,,Non-Engineering,2,550,670
1,5.00,,Non-Engineering,2,550,790
1,7.00,,Non-Engineering,2,560,620
1,5.00,,Non-Engineering,2,560,640
1,5.00,,Non-Engineering,2,560,710
1,6.00,,Non-Engineering,2,570,670
1,6.00,,Non-Engineering,2,570,700
1,5.00,,Non-Engineering,2,580,720
1,5.00,,Non-Engineering,2,600,580
1,5.00,,Non-Engineering,2,600,700
1,3.00,,Non-Engineering,2,600,800
1,7.00,,Non-Engineering,2,610,710
1,5.00,,Non-Engineering,2,620,760
1,4.00,,Non-Engineering,2,630,660
1,5.00,,Non-Engineering,2,630,670
1,8.00,,Non-Engineering,2,640,640
1,12.00,,Non-Engineering,2,650,510
1,7.00,,Non-Engineering,2,650,670
1,7.00,,Non-Engineering,2,660,610
1,6.00,,Non-Engineering,2,660,770
1,8.00,,Non-Engineering,2,670,610
1,7.00,,Non-Engineering,2,670,630
1,7.00,,Non-Engineering,2,670,780
1,10.00,,Non-Engineering,2,680,600
1,6.00,,Non-Engineering,2,700,670
1,8.00,,Non-Engineering,2,760,770
1,5.00,,Non-Engineering,2,790,730
1,6.00,,Non-Engineering,1,530,550
1,6.00,,Non-Engineering,1,570,730
1,6.00,,Non-Engineering,2,480,570
1,5.00,,Non-Engineering,2,570,740
1,9.00,,Non-Engineering,1,530,630
1,2.00,,Non-Engineering,1,660,590
1,4.00,,Non-Engineering,2,530,660
1,6.00,,Non-Engineering,1,300,780
1,8.00,,Non-Engineering,1,500,640
1,5.00,,Non-Engineering,1,520,780
1,4.00,,Non-Engineering,1,550,700
1,4.00,,Non-Engineering,1,580,670
1,5.00,,Non-Engineering,1,640,660
1,7.00,,Non-Engineering,1,670,690
1,6.00,,Non-Engineering,2,340,570
1,8.00,,Non-Engineering,2,350,710
1,6.00,,Non-Engineering,2,390,540
1,4.00,,Non-Engineering,2,440,650
1,6.00,,Non-Engineering,2,450,760
1,6.00,,Non-Engineering,2,470,700
1,5.00,,Non-Engineering,2,500,650
1,4.00,,Non-Engineering,2,540,720
1,5.00,,Non-Engineering,2,550,720
1,6.00,,Non-Engineering,2,590,660
1,7.00,,Non-Engineering,2,770,740
1,6.00,,Non-Engineering,1,440,550
1,5.00,,Non-Engineering,1,460,540
1,6.00,,Non-Engineering,1,480,630
1,6.00,,Non-Engineering,1,480,770
1,6.00,,Non-Engineering,1,520,590
1,6.00,,Non-Engineering,1,540,640
1,4.00,,Non-Engineering,1,550,620
1,5.00,,Non-Engineering,2,410,620
1,6.00,,Non-Engineering,2,420,710
1,10.00,,Non-Engineering,2,480,530
1,5.00,,Non-Engineering,2,520,670
1,6.00,,Non-Engineering,2,550,730
1,3.00,,Non-Engineering,2,570,730
1,5.00,,Non-Engineering,2,570,740
1,5.00,,Non-Engineering,2,640,680
1,6.00,,Non-Engineering,1,360,800
1,6.00,,Non-Engineering,1,470,540
1,5.00,,Non-Engineering,1,470,690
1,6.00,,Non-Engineering,1,580,800
1,4.00,,Non-Engineering,2,320,620
1,5.00,,Non-Engineering,1,280,530
1,5.00,,Non-Engineering,1,320,770
1,5.00,,Non-Engineering,1,400,660
1,5.00,,Non-Engineering,1,470,710
1,6.00,,Non-Engineering,1,540,650
1,6.00,,Non-Engineering,1,600,600
1,5.00,,Non-Engineering,1,650,780
1,6.00,,Non-Engineering,1,680,710
1,5.00,,Non-Engineering,1,690,730
1,5.00,,Non-Engineering,1,440,710
1,6.00,,Non-Engineering,1,480,550
1,6.00,,Non-Engineering,2,400,620
1,6.00,,Non-Engineering,2,410,740
1,5.00,,Non-Engineering,2,420,560
1,5.00,,Non-Engineering,2,420,660
1,5.00,,Non-Engineering,2,420,720
1,5.00,,Non-Engineering,2,540,650
1,6.00,,Non-Engineering,2,540,680
1,6.00,,Non-Engineering,2,550,710
1,5.00,,Non-Engineering,2,590,620
1,6.00,,Non-Engineering,2,610,770
1,6.00,,Non-Engineering,2,650,730
1,8.00,,Non-Engineering,2,690,760
1,6.00,,Non-Engineering,2,300,640
1,7.00,,Non-Engineering,2,420,540
1,5.00,,Non-Engineering,2,420,620
1,5.00,,Non-Engineering,2,440,590
1,6.00,,Non-Engineering,2,490,750
1,5.00,,Non-Engineering,2,510,770
1,5.00,,Non-Engineering,2,560,580
1,7.00,,Non-Engineering,2,570,720
1,6.00,,Non-Engineering,2,580,720
1,6.00,,Non-Engineering,2,630,610
1,7.00,,Non-Engineering,1,320,700
1,8.00,,Non-Engineering,1,380,690
1,6.00,,Non-Engineering,1,390,710
1,7.00,,Non-Engineering,1,390,720
1,9.00,,Non-Engineering,1,430,590
1,4.00,,Non-Engineering,1,440,620
1,3.00,,Non-Engineering,1,460,620
1,8.00,,Non-Engineering,1,480,680
1,6.00,,Non-Engineering,1,500,540
1,7.00,,Non-Engineering,1,500,760
1,5.00,,Non-Engineering,1,530,710
1,4.00,,Non-Engineering,1,530,740
1,4.00,,Non-Engineering,1,530,760
1,6.00,,Non-Engineering,1,560,800
1,6.00,,Non-Engineering,1,610,750
1,4.00,,Non-Engineering,1,610,780
1,4.00,,Non-Engineering,1,610,780
1,5.00,,Non-Engineering,1,640,570
1,5.00,,Non-Engineering,1,650,730
1,6.00,,Non-Engineering,1,650,770
1,4.00,,Non-Engineering,2,370,740
1,5.00,,Non-Engineering,2,380,670
1,4.00,,Non-Engineering,2,440,690
1,7.00,,Non-Engineering,2,450,680
1,6.00,,Non-Engineering,2,480,760
1,5.00,,Non-Engineering,2,490,640
1,6.00,,Non-Engineering,2,500,740
1,7.00,,Non-Engineering,2,510,800
1,6.00,,Non-Engineering,2,530,770
1,5.00,,Non-Engineering,2,540,590
1,8.00,,Non-Engineering,2,550,800
1,6.00,,Non-Engineering,2,560,660
1,5.00,,Non-Engineering,2,560,750
1,5.00,,Non-Engineering,2,610,660
1,7.00,,Non-Engineering,2,630,680
1,4.00,,Non-Engineering,2,340,660
1,5.00,,Non-Engineering,2,480,650
1,6.00,,Non-Engineering,2,480,740
1,5.00,,Non-Engineering,2,570,680
1,5.00,,Non-Engineering,2,580,530
1,8.00,,Non-Engineering,1,480,720
1,6.00,,Non-Engineering,1,520,730
1,2.00,,Non-Engineering,1,530,760
1,6.00,,Non-Engineering,1,660,800
1,7.00,,Non-Engineering,2,510,780
1,4.00,,Non-Engineering,2,640,750
1,4.00,,Non-Engineering,2,700,800
1,8.00,,Non-Engineering,2,440,650
1,6.00,,Non-Engineering,2,530,780
1,8.00,,Non-Engineering,2,570,710
1,2.00,,Non-Engineering,2,710,780
1,4.00,,Non-Engineering,1,350,800
1,4.00,,Non-Engineering,1,420,720
1,4.00,,Non-Engineering,1,470,700
1,8.00,,Non-Engineering,1,680,800
1,6.00,,Non-Engineering,2,340,800
1,2.00,,Non-Engineering,2,470,800
1,5.00,,Non-Engineering,2,540,770
1,11.00,,Non-Engineering,2,600,730
1,7.00,,Non-Engineering,2,610,770
1,9.00,,Non-Engineering,2,620,740
1,3.00,,Non-Engineering,2,650,790
1,8.00,,Non-Engineering,2,660,710
1,5.00,,Non-Engineering,2,700,790
1,12.00,,Non-Engineering,2,710,630
1,6.00,,Non-Engineering,2,710,760
1,7.00,,Non-Engineering,2,790,800
1,7.00,,Non-Engineering,1,480,780
1,6.00,,Non-Engineering,1,540,720
1,7.00,,Non-Engineering,1,550,700
1,6.00,,Non-Engineering,1,610,730
1,6.00,,Non-Engineering,1,630,800
1,8.00,,Non-Engineering,1,640,640
1,5.00,,Non-Engineering,1,660,720
1,6.00,,Non-Engineering,1,680,800
1,7.00,,Non-Engineering,1,720,760
1,9.00,,Non-Engineering,1,720,800
1,7.00,,Non-Engineering,2,420,590
1,5.00,,Non-Engineering,2,440,790
1,7.00,,Non-Engineering,2,490,780
1,9.00,,Non-Engineering,2,530,750
1,11.00,,Non-Engineering,2,540,750
1,7.00,,Non-Engineering,2,540,770
1,5.00,,Non-Engineering,2,540,770
1,7.00,,Non-Engineering,2,560,800
1,9.00,,Non-Engineering,2,560,800
1,10.00,,Non-Engineering,2,570,710
1,9.00,,Non-Engineering,2,570,780
1,8.00,,Non-Engineering,2,590,800
1,6.00,,Non-Engineering,2,590,800
1,7.00,,Non-Engineering,2,610,740
1,7.00,,Non-Engineering,2,610,750
1,8.00,,Non-Engineering,2,610,790
1,6.00,,Non-Engineering,2,610,800
1,10.00,,Non-Engineering,2,630,720
1,8.00,,Non-Engineering,2,640,770
1,6.00,,Non-Engineering,2,640,800
1,9.00,,Non-Engineering,2,640,800
1,4.00,,Non-Engineering,2,650,800
1,5.00,,Non-Engineering,2,650,800
1,6.00,,Non-Engineering,2,660,740
1,11.00,,Non-Engineering,2,660,800
1,10.00,,Non-Engineering,2,660,800
1,5.00,,Non-Engineering,2,670,770
1,7.00,,Non-Engineering,2,690,800
1,12.00,,Non-Engineering,2,700,760
1,8.00,,Non-Engineering,2,700,800
1,10.00,,Non-Engineering,2,710,790
1,7.00,,Non-Engineering,2,710,800
1,6.00,,Non-Engineering,2,720,680
1,6.00,,Non-Engineering,2,720,790
1,9.00,,Non-Engineering,2,720,800
1,11.00,,Non-Engineering,2,730,760
1,7.00,,Non-Engineering,2,730,770
1,3.00,,Non-Engineering,2,760,800
1,6.00,,Non-Engineering,2,770,760
1,6.00,,Non-Engineering,2,770,780
1,6.00,,Non-Engineering,2,790,790
1,7.00,,Non-Engineering,1,470,570
1,9.00,,Non-Engineering,1,490,510
1,6.00,,Non-Engineering,1,510,460
1,4.00,,Non-Engineering,1,530,580
1,9.00,,Non-Engineering,1,580,750
1,5.00,,Non-Engineering,1,650,730
1,7.00,,Non-Engineering,2,410,370
1,5.00,,Non-Engineering,2,430,600
